,Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food and Beverages,Ground Service,Inflight Entertainment,Wifi and Connectivity,Value For Money,Recommended,origin,destination,Index
95404,Air Canada,1,"""clueless, uncaring, and unhelpful""",2018-01-19,True," Our flight was cancelled last minute at the gate and were told to go to the customer service desk. However, upon arriving there, we were told to just go retrieve our luggage because the agents would not be able to help us and that we would have to call their customer service line to reschedule our flight. We were then given a card with a phone number to call to book another flight and to also book a hotel at a discount. However, upon calling the phone agent, we were told that because the cancellation was not their fault, they could not provide accommodation, even at a discount. We were also told that there would not be another direct flight out until 2 days later, although upon checking the internet, we saw that there were many other direct flights for the next day, with other airlines. The phone agent then told us that that they could not book us a flight with another airline, and that we would have to go back to the airport and speak to the desk agent. All the agents gave us different information and seemed clueless, uncaring, and unhelpful! Because of this airline's stupidity, we all lost out on a day's pay and had to drive down from Toronto to Newark so that we wouldn't miss out on another day's pay. Upon arriving back home, we found out that a friend also went through a similar experience previously with this airline. ",,Couple Leisure,Economy Class,Toronto to Newark  ,January 2018,1.0,1.0,,1.0,,,1.0,no,Toron,,104872
20132,SilkAir,5,"""ride was uncomfortable""",2019-10-23,True,"  Kuala Lumpur to Singapore. The boarding time stated was 1.30pm but after accumulating nearly a full plane load of passengers in the queue, a change of gate was announced at 1.50pm. We boarded late, which ended up in a late departure. On board, the seats were acceptable with good recline. However, we were on board with a huge group of Chinese tourists, they reclined seats before take off, get up to go to the toilets whilst the plane is taking off, stood up and got their bags before the plane stopped. Cabin crew tried their best to control the mayhem but simply gave up towards the end of the ride. The ride was uncomfortable and felt dangerous due to safety violations of passengers. Although many things are out of SilkAir’s control, I think it would be good if SilkAir gives proper training to the air stewardesses who make announcements. We can never really understand what they are saying because they either fake an American accent but do it so badly that their words are all jumbled up and unclear.",,Family Leisure,Economy Class,Kuala Lumpur to Singapore,October 2019,3.0,3.0,,4.0,,,2.0,no,KualaLumpur,Singapore,22095
37145,Qatar Airways,9,Qatar Airways customer review,2014-10-01,False,Bangkok to Manchester return via Doha 12th and 19th September. The new Doha airport is of course a great improvement on the old one but some issues still continue: checking into the flight at the gate meant pushing 250 people into a space designed for probably 100 rather an unseemly start - it wasn't possible so many of us had to wait until some had got on the plane. The privilege club silver lounge was hard to find – I was sent from one lounge to the next [visiting 4 in all] before I found the right one - the staff seemed confused about who could use which lounge. Now that Qatar have joined One World I may change to Finnair as their prices and travel times are better than Qatar. All in all Qatar is a good product.,,,Economy Class,,,3.0,4.0,3.0,,4.0,,5.0,yes,,,40792
23210,Southwest Airlines,2,"""Not the customer service of the past""",2018-03-29,True, Flew Southwest Airlines from Las Vegas to Dallas. Not the customer service of the past. I was at the gate with no announcements. They sold my ticket as I went to board and said I was too late. I was put on standby rotation out of Vegas and no seats were available because all flights were supposedly sold out for the day. This was the reoccurring message until I purchased another $1000s in tickets for the next day. Then and only then did they find openings to multiple direct flights out the same day. What a racket. No seats. Sell my seat. Buy another ticket. Then oh look there are seats.,,Business,Economy Class,Las Vegas to Dallas,March 2018,2.0,2.0,1.0,1.0,,1.0,1.0,no,LasVegas,Dallas,25470
70907,Bangkok Airways,8,"""good as it gets in economy""",2017-12-06,True,"  Danang to Yangon via Bangkok. As good as it gets in economy class.  Small aircraft, A319 and A320. Flights punctual. Check-in smooth and both Boarding Passes issued simultaneously though on 2 different tickets. In Danang no lounge was offered. In Bangkok their lounge is spacious and a relief. Onboard, special meal offered and delivered to perfection. Other 2 options of hot food available. Soft drinks, hot drinks, and wine and beer offered (only 1 brand of each, though. Courtesy upgraded from seat 20A to 3A on first flight (the seats are the same). FA professional and caring. Food quality so, so, and portions were small. Additional food was available and provided on request. IFE onboard ridiculous, some low-rate hidden camera clips were shown in plenum from ceiling monitors. Transfer and transit smooth. Bus-gating in Bangkok (arrival and departure) was not convenient. But in Danang it was better as we walked straight onto the aircraft. I have had 9 trips with this airline and have now, through their FFP Programme, earned myself a domestic 1-way travel in Thailand. Cannot really fault this airline, they are a bit more pricy than LCCs, but it is worth it as they are service minded, provide free luggage allowance, and are generally good","A320, A319",Business,Economy Class,Danang to Yangon via Bangkok,December 2017,4.0,4.0,4.0,5.0,1.0,,4.0,yes,Danang,YangonviaBangkok,77973
67065,Ethiopian Airlines,8,"""a good business class""",2018-06-05,True," Abidjan to Bangkok via Addis Ababa. I now frequently use Ethiopian on trips from Bangkok to Africa as they provide a good business class at reasonable prices and extremely good connections, with relatively short transfer times in Addis. Food is generally quite good on Ethiopian, local wines excellent and service attentive. On my last flight (ET618), instead of the now usual Dreamliner, Ethiopian used an older B767, with a very limited entertainment system, as they only showed African, Asian, Hindi and 4 European movies and no blockbusters or US movies; also, immigration forms were not available, but otherwise, a very pleasant flight.",Boeing 767,Business,Business Class,Abidjan to Bangkok via Addis Ababa,June 2018,4.0,5.0,5.0,4.0,2.0,,5.0,yes,Abidjan,BangkokviaAddisAbaba,73723
32499,Pegasus Airlines,9,Pegasus Airlines customer review,2015-08-09,False,"Ercan to London Stansted via Istanbul Sabiha Gokcen.  Pegasus ground staff at Ercan were helpful. My return flight was a morning flight, we were greeted politely by the cabin crew, they assisted me to put my hand luggage in the overhead bins.  The flights were comfortable and both take offs from Ercan and Sabiha Gokcen and landings in Sabiha Gokcen and in Stansted went smoothly that my toddler slept through them. The safety video was quite cute with the superheroes. The negative thing I can think of is that some of the cabin crew are a bit difficult to understand. I had to ask my husband who speaks fluent Turkish to translate some of the things they said when they spoke the announcement in Turkish after the English. Apart from that there is really nothing else to fault with the airline. I see a lot of reviews complaining about leg room, plane size, if you want high service then spend more money on an airline who can cater for all your needs. ",,Family Leisure,Economy Class,Ercan to Stansted Airport via Istanbul,August 2015,4.0,5.0,4.0,4.0,,,4.0,yes,Ercan,StanstedAirportviaIstanbul,35694
2549,S7 Siberia Airlines,7,"""onboard the product is quite good""",2016-11-23,False,"  Moscow to Samara with S7. Staff at check-in don't speak much English but the service is quite efficient. Outbound flight delayed with minimal communication - eventual boarding via bus was particularly unpleasant in the Moscow snow. Onboard the product is quite good - reasonable legroom for a 1h30m flight. One bar service (juices, water and hot drinks) and a decent sandwich. Staff onboard spoke English and all annoucements in Russian and English. Return trip identical and again good - would recommend for short domestic flights.",A319 / A320,Business,Economy Class,DME to KUF,November 2016,4.0,4.0,4.0,3.0,,,4.0,yes,DME,KUF,2796
93587,Aeromexico,2,"""the gate staff were rude""",2018-01-04,True,"  Mexico to Detroit. The gate staff did not call for families with small children to board first, when I asked why that was the case I was told it was company policy and I was quickly dismissed by the gate staff. Upon boarding the gate staff were rude (assume it was due to my question/complaint about the boarding process). I told the gate staff that I was unsatisfied on their boarding process (again) and she simply ignored me. I made a final comment of dissatisfaction with their entire company and as I was boarding she flagged security and told them that I needed a ""special screening"".",,Family Leisure,Economy Class,Mexico to Detroit,January 2018,3.0,4.0,3.0,1.0,2.0,,2.0,no,Mexico,Detroit,102863
94664,Air Canada,1,"""missed our connection as I expected""",2022-07-01,False,"  My Greece family vacation started out on June 13 leaving Miami International Airport arriving into Montreal for connection to Athens . I decided to carry 3 of our 4 bags on. The trip went without a flaw. After 12 days in Greece it was time to head back home to Miami. When we board our return flight from Athens to Toronto with a connection to Miami I decided to check all 4 piece of our luggage. Flight boarded on time and was suppose to leave at 1:15-1:30. Wasn’t cleared to take off until 3pm. At that point I realized we were not making our connecting flight to Miami. After arriving in Toronto the disaster began with this airline. We missed our connection as I expected. When asked for assistance on rebooking was told by multiple Air Canada employees to use the “White Phones” located at gate #15. Upon arriving to gate 15 and waiting in line for over an hour I discovered most (50%) of the phone were not in working order. When I finally got my opportunity to use a working white phone I was on hold for over 2 hours. I had enough and hung up. I then proceeded to Gate 4 international re-bookings where I again waited for over two hours with hundreds of other people to be told they are closing the gate at 12 midnight and will reopen at 4 am. I was then handed a card and told to call this number to rebook your flight. They offered no  hotel vouchers, no food vouchers, no  beverage vouchers. Employees said to find the nearest hotels.  We decided to find the best location to sleep for the night. I figured I would give the phone number in the card a try -after 3 hours and 7 minutes of being on hold I had enough.  I had to book another flight to Montreal to connect to Miami. Instead of arriving in Miami on June 23 (original return flight) we arrive on June 25. I forgot to mention my luggage was lost. They assured me it was on my flight before I boarded to travel to Montreal. Well my luggage arrived June 30. ",,Family Leisure,Economy Class,Toronto to Miami,June 2022,3.0,5.0,5.0,1.0,5.0,3.0,3.0,no,Toron,,104057
93306,Aeromexico,1,"""before boarding they downgraded us""",2023-06-05,False,  We had business class tickets in row 2. Just before boarding they downgraded us to middle seats in coach. They lied that they switched aircraft’s and there weren’t enough seats now. Not true. They downgraded us because someone probably paid more money for their tickets so they sent us to the back of the plane in middle seats. We flew 8 hours out of our way to get to Mexico City for this business class flight only for them to take it from us! They are the worst. Do not fly with them ever. ,,Couple Leisure,Economy Class,,June 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,,,102560
60626,Delta Air Lines,1,"""Is there any time Delta doesn’t delay a flight?""",2021-09-04,False,"  Is there any time Delta doesn’t delay a flight? I’ve flown four times in the last week and all but one of those flights were on time, the rest were 3+ hours delayed, I didn’t get home until 3am one time for my 9pm flight. There is absolutely no reason for there not to be a pilot or crew to fly these planes, you’re able to offer these flights so maybe you should staff them accordingly. I’ll never fly with Delta again after my experience with this crappy, ill-staffed airline- not worth the time or money spent. Frontier is even superior.",,Solo Leisure,Economy Class,Raleigh to Detroit,September 2021,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Raleigh,Detroit,66666
30972,Norwegian,8,"""Norwegian was a pleasure to fly""",2017-11-01,False,"  
Flew Norwegian from Munich to Malaga. Boarding was a bit of a mess as they didn’t board families first although we were told they would do so. Flight was delayed for about 45 minutes due to congestion at the airport, this was communicated after everyone had boarded so we weren’t off to a good start. On the plus side seatbelt and life jacket for the baby were on the seat waiting for us and the travel stroller was allowed on board without issues. Seats had plenty of room and the plane was clean and new. The flight was smooth, the crew friendly and in the end they made up the lost time so we arrived as planned. The free wifi worked as advertised and the range of free entertainment was a welcome surprise. For a discount carrier they offer more than LH does on the same route the only thing is you have to buy your food and drinks. Their website is easy to use but for whatever reason you couldn’t use the online checkin feature. This was not really an issue as the process was quick and painless at the counters. Norwegian really was a pleasure to fly as long as you keep to their rules.",Boeing 737-800,Family Leisure,Economy Class,Munich to Malaga,October 2017,4.0,3.0,,4.0,,4.0,5.0,yes,Munich,Malaga,34005
3907,TAP Portugal,7,"""personal space was not so good""",2017-01-20,False," TAP Portugal flight from Lisbon to Munich. This flight was okay. The main reason I had chose it was the price. The staff were not so friendly, but ok. During the flight the served a sandwich and drinks, including wine, if you like it. The personal space was not so good. The rows are narrow if you are over 1.70m. Plane and seating was otherwise okay and was well maintained. Boarding was a little bit chaotic, but ok. We arrived MUC nearly on time.",A319,Solo Leisure,Economy Class,LIS to MUC,December 2016,3.0,3.0,2.0,3.0,,,3.0,yes,LIS,MUC,4280
23850,SpiceJet,1,"""No proper customer support""",2023-11-17,False,  Very worst airline. No proper customer support. They will change flight departure time for there comfortable time. Won’t refund the money if the issue is from SpiceJet. Won’t give any prior message if the flight get cancelled by text message or by WhatsApp. SpiceJet is good only for promotions. No response from airport SpiceJet customer care in Mumbai airport terminal no1. Because this change I have spent 3000rs for cab for travelling to airport.,,Business,Economy Class,Mumbai to Chennai,November 2023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,Mumbai,Chennai,26182
70687,Avianca,3,Avianca customer review,2014-05-21,False,My first flight with Avianca was mediocre: from Toronto to San Salvador to Guayaquil. On the first flight there was no routine safety review and the service was slow but fine. However on the return flight the customer service was appalling. We boarded the plane and then after waiting over an hour with no communication we were told the flight was cancelled due to mechanical issues and we needed to get off. The Avianca staff then proceeded to have us wait at the baggage carousel for close to 5 hours with next to no communication no systems in place to deal with the various flight arrangements and accommodations and no food or water. People had been at the airport since 2am and we didn't get a shuttle to a hotel until 9.5 hours later with next to no proactive communication on their part. The staff tended to walk around together and claimed they couldn't do anything without their supervisor's permission who was absent from the scene. At the core of the issue was their lack of professional and organized communication strategy.,,,Business Class,,,3.0,1.0,3.0,,3.0,,2.0,no,,,77733
21005,Singapore Airlines,1,"""Thumbs down to Singapore Airlines""",2017-11-07,False,"  Customer service fail.  My wife and I had a booking for March 2018 to fly Canberra Australia to Wellington New Zealand, one way. This relates to customer service pre-flight, not comfort or service on a flight. Booking was no problem and great price. Our dates were not flexible due to other commitments. We received notification that our flight was cancelled (by the airline) and we had the option to accept an alternative (suggested flights nominated) or decline. Choosing decline gave a direction to call their help line. Called the number and despite stating our case several times that as there was no suitable alternative we would request refund we kept being offered alternative dates. Finally our request was understood (we were dealing with a human) and we were told that the operator did not have authority to action that request and our request would be forwarded to another area who would get back to us ""soon"". When asked for a timeframe we couldn't be given one. Now, I would expect that as this was the airline making the change, and, knowing that choosing decline would generate calls to the help line, a professional outfit would have provided that option for operators to action. But, no. It took a follow up email and then a second phone call to finally be advised that our request to cancel was actioned. When asked when we could expect a refund in our account we are told up to four weeks!! And, no advice of the amount to be actually refund, we have to wait for it to turn up before we can be sure full refund. Not good enough, and not what I would have expected from a full service airline that apparently prides itself on customer service. Thumbs down to Singapore Airlines.",Boeing 777,Couple Leisure,Economy Class,Canberra to Wellington,November 2017,,,,,,,1.0,no,Canberra,Welling,23046
44501,KLM Royal Dutch Airlines,7,"""Very helpful airline""",2023-04-08,False," Very helpful airline, not delayed at all. Cabin crew was nice but not talkative. Food and beverages was great. WIFI was poor. Seats clean, comfortable bathroom clean. Flight entertainment was good as well. Ground service was awesome. Definitely recommend this airline!",,Family Leisure,Business Class,Los Angeles to Delhi via Amsterdam,October 2022,5.0,4.0,5.0,5.0,5.0,3.0,5.0,yes,LosAngeles,DelhiviaAmsterdam,48869
60072,Delta Air Lines,2,"""loyalty these days mean absolutely nothing""",2023-03-15,False,"  I have been a member of their frequent flyer program for 22 years. I have purchased first class tickets and have never asked for an upgrade. In 2021 I flew Delta so much that I achieved Platinum Status for 2022. Delta’s Platinum status provides a number of regional upgrades as a reward for flying so much over the course of a year. In July I knew what my travel schedule would be for the remainder of the year so I purchased tickets to travel for September, November and my annual Christmas trip home. I used the certificates to purchase first class seats for my travel dates. Then on the day of my Christmas travel I printed out my first-class tickets and boarding passes for the trip. I reached out to Delta to confirm my seats. At that point I was told that I needed one more pass to have first class seats for my round trip travel. I was told the young lady that I purchased the tickets in June and I have my tickets showing my travel in first class and my seat assignments for the round trip. I was passed along from agent to agent and finally I was told that the agent who booked the trip made a mistake and I would either have to pay $1,100 or 150,000 air miles to use the ticket that I had printed out. I was outraged to say the least. Even though I was told by every agent that I spoke with that it was Delta’s mistake and not mine. Reluctantly, I agreed to their demands and completed my trip however this episode left a really bad taste in my mouth and tarnished my opinion of Delta Airlines. For years I could have been flying US Air and landing in Florence which is closer to my family. However, I remained loyal to Delta because I liked their service. And I guess that is my fault because loyalty these days mean absolutely nothing these days.",,Business,First Class,Los Angeles to Myrtle Beach,December 2022,1.0,1.0,1.0,1.0,1.0,1.0,1.0,no,LosAngeles,MyrtleBeach,66038
28365,Spirit Airlines,1,Spirit Airlines customer review,2015-05-11,False,On May 9 2015 I attempted to fly Spirit Airlines flight 332 from Atlantic City to Boston. After 6 hours of delays that were not fully explained the flight was cancelled at 10pm. While I received a full refund the staff were extremely unhelpful and customer service was seriously lacking. A few examples: Gate agents spoke in a rude arrogant manner to any passenger who tried to get more information about the flight. We were told the delay was due to the previous night's weather in the Midwest which did not explain why our 5pm flight from New Jersey was late (and our plane was supposed to be coming from Florida). No food or hotel vouchers were offered even after the flight was canceled and passengers were stranded until the next available flight 48 hours later. At 9pm a gate attendant announced that our plane to Boston had landed and we would board soon and to form a line to board. After 15 minutes without any update (and a gate attendant standing at the desk with her back turned to avoid passenger's questions) I had to ask nearby pilots what was going on. They informed me that the plane had not actually landed but was circling overhead because of fog. 10 minutes later our flight was canceled. I will never fly Spirit again and I hope this review helps other people make the same decision!,,,,,,2.0,1.0,1.0,,1.0,,1.0,no,,,31153
92874,Aeroflot Russian Airlines,9,Aeroflot Russian Airlines customer review,2014-10-28,False,I traveled from Tel Aviv to Toronto via Moscow. It was a last minute booking the price superb and the service excellent - especially for economy class. The food was on par for international flights but I really appreciated the courtesy of the staff. I would not hesitate to fly Aeroflot again.,,,Economy Class,,,4.0,5.0,4.0,,5.0,,5.0,yes,,,102069
2703,Saudi Arabian Airlines,3,"""Cabin crew are not very efficient and chaotic""",2022-03-08,True," SV 829: KUL-MED, Pretty standard flight. Cabin crew are not very efficient and chaotic. Toilet wet and overflowing and uncleaned. Saw a cabin crew pour leftover coffee into the toilet bowl with drips on the toilet seat and didn't bother to clean it up. Seat, food and entertainment are otherwise pretty standard.",Boeing 787,Solo Leisure,Economy Class,Kuala Lumpur to Medina ,March 2022,3.0,2.0,3.0,2.0,3.0,,2.0,no,KualaLumpur,Medina,2963
88628,American Airlines,1,"""Poor and horrible service""",2018-11-29,True,"  LaGuardia to Washington via Buffalo. Poor and horrible service, too many delays in one trip.It should be a one hour fly until Washington and one more hour to get to Buffalo. I took my flight at 4pm and finally got home at 2am, small seats, no food not even water. Horrible and very uncomfortable.",,Solo Leisure,Economy Class,LaGuardia to Washington via Buffalo,November 2018,1.0,1.0,,1.0,,,1.0,no,LaGuardia,Washing,97403
26411,Spirit Airlines,1,"""Worst airline ever""",2019-06-19,False,"  Worst airline ever, they post cheap tickets then charge for everything else. Bottle of water $3, can of soda $3 etc. Carry-on $45 and checked in bag $40 with 40lb limit. On top of that every flight was delayed on our round trip from Phoenix to Cancun.",,Family Leisure,Economy Class,Phoenix to Cancun,June 2019,1.0,2.0,1.0,3.0,1.0,2.0,1.0,no,Phoenix,Cancun,28985
5402,Cathay Pacific Airways,8,Cathay Pacific Airways customer review,2014-10-05,False,Hong Kong-Tokyo Haneda-Hong Kong Outbound flight CX542 was excellent the flight attendants were very attentive even though the flight was busy. They carefully asked passengers' preference and when I was not sure which wine to order the flight attendant suggested me to try a little bit of each before making a decision. Very thoughtful indeed! I also enjoyed the conversation with them. The flight was slightly delayed but it didn't bother me too much. However the return flight CX549 was less impressive. The flight attendants were not as friendly and attentive as the outbound flight. They forgot and skipped my dessert. Anyway everything else was fine.,,,Business Class,,,4.0,4.0,4.0,,4.0,,4.0,yes,,,5945
6718,Vietnam Airlines,8,Vietnam Airlines customer review,2013-01-02,False,PRG-CDG-HAN skyteam elite member. Economy class segment: PRG-CDG on Airbus a321. Seat ok. Had emergency exit seat (not upon request). No seat in front so leg space enough. No view outside due to lack of window. 4 small biscuits as a snack - poor for a 1.5 hr flight. Stopover in CDG: a nice 30 min walk between the 2 gates. In the mean time went to the check in counter to ask for a window seat. Upon arrival at the gate I asked about the seat and immediately received upgrade to economy plus cabin. I took advantage of the possibility to go to the Air France lounge. Seat was great legroom more than ok. Food is as usual on VN very good. Rice noodles upon request during the night. PTV (a little outdated system that takes time to get along with). Overall a good experience.,,,Premium Economy,,,4.0,4.0,5.0,,3.0,,3.0,yes,,,7393
26410,Spirit Airlines,2,"""it just wasn’t worth it""
",2019-06-20,True,"  Buy your ticket in advance and save that way. I was charged $285 for a last minute ticket which was the reasonable option considering every other ticket was 400+ but it just wasn’t worth it. Between the chairs they make you sit in, to the over priced food/drinks on the flight to the  fees they don’t tell you about. I was charged an extra 20 dollars for a “seating assignment fee” which I thought I was avoiding by picking the random seating assignment. The onboard staff were friendly but that’s about all the good I have to say about this airline.",,Solo Leisure,Economy Class,San Diego to Chicago,June 2019,1.0,3.0,1.0,3.0,1.0,1.0,3.0,no,SanDiego,Chicago,28984
40803,Jet2.com,1,Jet2.com customer review,2014-06-04,False,Once again another fantastic flight with Jet2! Recently returned with Jet2 after a well-needed week away in Gran Canaria flying from Manchester. Jet2 have their own dedicated check-in area at Manchester with very friendly staff. The service was great with my party checked in and through security in no time! Both flights were on time with the cabins very clean and well presented. The leg-room was great and the no reclining seats is a god send. Cabin Crew on both flights very good professional chatty and willing to help. Have used Jet2 for the past 10 years and will continue to do so in the future! Keep up the good work!,,,Economy Class,,,5.0,5.0,5.0,,,,4.0,yes,,,44826
97922,Air France,1,"""cabin crew were polite""",2019-07-12,True, Paris to London. Really enjoyed flying with Air France. The aircraft was clean and looking new. Boarding was very organised and all cabin crew were polite and professional. Sandwiches and beverages were offered during this 40 mins flight.,A319,Business,Economy Class,Paris to London,April 2019,5.0,5.0,5.0,5.0,,,5.0,yes,Paris,London,107647
